# ヘッダ部開始
駅名,五反田
番線,1
号車番号,1
ドア番号,3
動作日時,2026-07-03 00:10:13
動作種別,閉動作
温度[℃],34.2
湿度[%RH],44.0
気圧[hPa],1006
# ヘッダ部終了

# データ部開始
時間[s],左扉モータ電流[mA],右扉モータ電流[mA],DC24V電圧[V],AC200V電圧[V],開口全体の消費電流[mA],X軸方向加速度[m/s^2],Y軸方向加速度[m/s^2],Z軸方向加速度[m/s^2]
0.05,8.8,10.2,24.1,207.2,278.0,0.219,0.418,9.1
0.1,10.4,11.2,24.1,207.2,274.7,0.22,0.416,9.104
0.15,9.7,10.9,24.1,207.2,277.5,0.218,0.42,9.097
0.2,8.8,10.4,24.1,207.2,275.0,0.22,0.417,9.102
0.25,10.3,10.5,24.1,207.2,278.5,0.216,0.417,9.102
0.3,9.1,11.3,24.1,207.2,275.5,0.22,0.412,9.101
0.35,9.4,11.2,24.1,207.2,278.7,0.217,0.415,9.103
0.4,10.2,10.3,24.1,207.2,274.8,0.222,0.418,9.1
0.45,10.1,10.8,24.1,207.2,278.5,0.217,0.416,9.102
0.5,9.9,11.1,24.1,207.2,275.0,0.216,0.417,9.101
0.55,9.3,11.3,24.1,207.1,277.5,0.22,0.413,9.101
0.6,9.3,10.3,24.1,207.1,275.8,0.22,0.42,9.102
0.65,10.3,10.7,24.1,207.1,278.8,0.217,0.413,9.102
0.7,9.6,10.6,24.1,207.1,275.6,0.219,0.421,9.102
0.75,82.5,67.7,24.1,207.0,279.6,1.218,1.578,9.141
0.8,233.4,213.1,24.1,206.9,303.3,0.442,0.906,9.098
0.85,268.0,277.3,24.1,206.5,386.2,0.469,0.658,9.099
0.9,149.6,131.0,24.1,206.5,384.2,0.309,0.49,9.105
0.95,233.1,199.7,24.1,206.5,401.0,0.282,0.489,9.106
1.0,289.8,246.3,24.1,206.3,464.5,0.292,0.59,9.099
1.05,306.9,274.5,24.1,206.1,547.8,0.304,0.549,9.1
1.1,301.3,274.9,24.1,206.0,620.0,0.362,0.566,9.107
1.15,301.6,291.5,24.1,205.7,678.6,0.571,1.046,9.112
1.2,295.8,294.2,24.1,205.6,725.6,0.533,0.983,9.107
1.25,315.6,315.5,24.1,205.4,783.7,0.501,0.842,9.099
1.3,323.4,332.6,24.1,205.3,834.0,0.61,1.026,9.112
1.35,329.8,341.1,24.1,205.2,900.0,0.768,1.241,9.106
1.4,367.3,388.2,24.1,204.9,965.1,0.702,1.078,9.121
1.45,355.8,366.6,24.1,204.9,985.3,0.823,1.661,9.106
1.5,328.7,354.3,24.1,205.1,918.5,0.809,1.861,9.115
1.55,330.6,357.4,24.1,205.3,831.1,0.767,1.046,9.092
1.6,323.3,355.0,24.1,205.5,752.1,0.819,0.839,9.109
1.65,332.7,356.2,24.1,205.7,697.5,0.623,0.579,9.119
1.7,322.8,351.8,24.1,205.8,661.3,0.727,0.706,9.128
1.75,323.9,350.6,24.1,205.8,650.6,0.625,0.737,9.113
1.8,333.9,352.5,24.1,205.7,666.7,0.746,0.974,9.115
1.85,325.3,349.4,24.1,205.7,700.2,0.66,1.017,9.081
1.9,327.7,351.8,24.1,205.6,722.7,0.784,1.235,9.111
1.95,329.7,349.8,24.1,205.5,746.9,0.776,1.359,9.109
2.0,326.2,352.8,24.1,205.5,757.6,0.758,1.143,9.134
2.05,324.7,354.3,24.1,205.5,758.1,0.756,1.163,9.099
2.1,332.1,355.3,24.1,205.5,749.8,0.807,1.164,9.139
2.15,325.3,347.7,24.1,205.5,728.8,0.743,0.8,9.099
2.2,322.6,355.8,24.1,205.6,717.9,0.599,0.662,9.101
2.25,328.7,354.6,24.1,205.6,714.5,0.699,0.933,9.103
2.3,320.3,347.2,24.1,205.6,708.3,0.686,0.846,9.128
2.35,322.9,352.0,24.1,205.6,711.6,0.723,0.878,9.122
2.4,323.0,351.0,24.1,205.5,717.2,0.834,0.998,9.117
2.45,321.2,352.2,24.1,205.5,725.2,0.743,0.879,9.099
2.5,325.8,353.5,24.1,205.4,725.9,0.639,0.68,9.101
2.55,299.6,316.9,24.1,205.5,704.0,1.025,1.041,9.131
2.6,271.4,309.3,24.1,205.8,591.7,0.823,1.176,9.154
2.65,266.6,294.2,24.1,206.2,462.8,0.642,1.32,9.134
2.7,257.2,253.7,24.1,206.5,369.2,0.662,0.882,9.122
2.75,199.7,192.6,24.1,206.7,324.8,0.408,0.645,9.091
2.8,136.3,126.3,24.1,206.6,321.0,0.453,0.711,9.117
2.85,115.8,99.7,24.1,206.7,331.9,0.443,0.7,9.101
2.9,64.3,58.5,24.1,206.7,317.5,0.27,0.46,9.109
2.95,49.2,75.3,24.1,206.8,302.6,0.247,0.432,9.099
3.0,49.4,75.8,24.1,206.8,293.3,0.243,0.432,9.105
3.05,31.9,30.2,24.1,206.8,297.5,0.224,0.426,9.103
3.1,84.6,46.4,24.1,206.7,301.8,0.426,0.541,9.115
3.15,160.8,104.5,24.1,206.7,323.4,0.227,0.431,9.104
